"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"165",0,-0.525633705794495,0.998,0.956,0,"0","PFN1"
"166",0,0.493002432186654,0.999,0.958,0,"0","RPL14"
"167",0,0.562987837075312,1,0.959,0,"0","RPS23"
"168",0,0.51250928093595,1,0.96,0,"0","RPS14"
"169",0,0.617679306294615,0.999,0.959,0,"0","RPS6"
"170",0,0.47388529351215,1,0.96,0,"0","RPLP2"
"171",0,0.595227023045707,1,0.96,0,"0","RPL18A"
"172",0,0.577928092171582,1,0.961,0,"0","RPL34"
"173",0,0.608428540996548,1,0.961,0,"0","RPS3A"
"174",0,0.502672356502188,1,0.961,0,"0","RPL37"
"175",0,0.45615811569496,1,0.961,0,"0","RPL3"
"176",0,0.53382839788021,1,0.962,0,"0","RPS2"
"177",0,0.438729532380349,1,0.962,0,"0","RPS15"
"178",0,0.673552669433708,1,0.963,0,"0","RPL32"
"179",0,0.555360528425074,1,0.963,0,"0","RPL30"
"180",0,0.409114007170895,1,0.963,0,"0","RPS3"
"181",0,0.54708144155798,1,0.963,0,"0","RPL19"
"182",0,0.607766472025129,1,0.964,0,"0","RPL11"
"183",0,0.637098293829512,1,0.964,0,"0","RPS18"
"184",0,0.668972671849829,1,0.965,0,"0","RPS8"
"185",0,0.673468273178973,1,0.965,0,"0","RPS12"
"186",0,0.42818501699433,1,0.966,0,"0","RPS27"
"187",0,0.429998565804118,1,0.966,0,"0","RPS27A"
"188",0,0.598597476320025,1,0.966,0,"0","RPLP1"
"189",0,0.619668610815929,1,0.968,0,"0","TPT1"
"190",0,0.534716710779694,1,0.968,0,"0","RPL28"
"191",0,0.53413834703207,1,0.969,0,"0","RPL10"
"192",0,0.487238607441102,1,0.969,0,"0","RPL41"
"193",0,-1.06064150202691,0.786,0.816,0,"0","ITGB2"
"194",0,0.624624804915756,1,0.971,0,"0","RPL13"
"195",0,0.564018997777676,1,0.977,0,"0","EEF1A1"
"196",0,-0.412593835666493,1,0.979,0,"0","HLA-A"
"197",0,-0.541564221215442,0.999,0.979,0,"0","HLA-C"
"198",0,-0.924140301906513,0.922,0.902,0,"0","CYBA"
"199",0,-0.394051386320005,1,0.983,0,"0","B2M"
"200",0,-0.406247465486258,1,0.985,0,"0","HLA-B"
"201",0,-0.580938975951636,0.976,0.967,0,"0","PTPRC"
"202",0,-0.956865942673284,0.854,0.849,0,"0","HCST"
"203",0,-1.31608352408525,0.812,0.816,0,"0","CD74"
"204",0,-0.559531792528831,0.999,0.999,0,"0","MT-CO1"
"205",2.83191879552538e-304,-1.69006166357651,0.295,0.462,1.06347046528365e-299,"0","CD63"
"206",3.84114248516049e-304,-2.34758875933063,0.131,0.327,1.44246423745232e-299,"0","NCALD"
"207",2.35713287536173e-301,0.96630065132051,0.327,0.145,8.85174108684591e-297,"0","BIRC3"
"208",1.27425784946884e-300,0.997809615666731,0.301,0.127,4.78522050211034e-296,"0","TMEM14C"
"209",1.45100454653277e-300,-0.840045097267923,0.715,0.754,5.44895737359452e-296,"0","CLIC1"
"210",4.80798129028892e-300,-1.5656590269527,0.207,0.406,1.8055412139422e-295,"0","LYAR"
"211",5.74669852491062e-298,0.850258218734441,0.347,0.157,2.15805769705969e-293,"0","TNFSF8"
"212",1.63696999643542e-296,-1.55571639417018,0.31,0.478,6.14731342761392e-292,"0","SYTL3"
"213",4.4478840432904e-294,1.06903191626097,0.345,0.161,1.67031389477684e-289,"0","CISH"
"214",9.32294235634281e-294,0.745706696444043,0.409,0.2,3.50104454307742e-289,"0","SIRPG"
"215",9.12067003175341e-291,0.797183580953744,0.481,0.259,3.42508521702436e-286,"0","PIM2"
"216",1.88618325037079e-287,1.01289102278432,0.52,0.304,7.08318396011742e-283,"0","AL138963.4"
"217",4.58767587817126e-287,-1.40701791907825,0.388,0.532,1.72280992252965e-282,"0","CBLB"
"218",2.86611304651716e-285,0.941340220840168,0.32,0.143,1.07631143235859e-280,"0","CHMP7"
"219",1.14508227590665e-275,0.710282464941659,0.318,0.143,4.30012747071223e-271,"0","SNX9"
"220",2.35323506938892e-274,-1.08219044838838,0.763,0.778,8.83710365607621e-270,"0","CD247"
"221",9.66503101558663e-274,0.550637745128159,0.597,0.352,3.62950909728325e-269,"0","OXNAD1"
"222",3.24602490974175e-273,0.522702053155363,0.81,0.569,1.21897973435532e-268,"0","EIF3L"
"223",7.24642060364085e-273,-1.75501599077387,0.214,0.389,2.72124832928525e-268,"0","KLRG1"
"224",8.23196210345661e-269,0.747295488129491,0.422,0.217,3.09134872871106e-264,"0","STMN3"
"225",1.25779531505589e-268,-0.864736630117277,0.697,0.739,4.72339874662937e-264,"0","RNF213"
"226",7.42506373734432e-266,-1.27543110549813,0.427,0.551,2.78833418528491e-261,"0","GSTP1"
"227",1.21725015988479e-265,-1.0036354118626,0.592,0.678,4.57113952541536e-261,"0","FLNA"
"228",3.60999390438018e-264,-1.50021198794702,0.241,0.414,1.35566101091189e-259,"0","ACTN4"
"229",1.29422324993152e-263,0.757024253100395,0.435,0.229,4.86019657046784e-259,"0","HMGA1"
"230",1.41420599069235e-263,0.709698926906074,0.375,0.183,5.31076775684699e-259,"0","ITGA6"
"231",1.04710830539641e-261,0.600359519128515,0.325,0.149,3.93220581925514e-257,"0","PVT1"
"232",7.46889514000725e-261,0.580863733815453,0.692,0.449,2.80479419192692e-256,"0","RSL1D1"
"233",9.47145579193013e-261,0.52219491037355,0.784,0.543,3.55681579354352e-256,"0","ZFAS1"
"234",2.33347900288133e-260,0.522152048589813,0.764,0.513,8.76291369952024e-256,"0","GPX4"
"235",2.67952634692675e-260,0.846008000625471,0.314,0.143,1.0062425290614e-255,"0","TNFRSF25"
"236",1.82342353392433e-258,-0.800397765091822,0.719,0.745,6.84750239694605e-254,"0","RAP1B"
"237",5.87576269680846e-258,-1.07492602948985,0.52,0.63,2.20652516553248e-253,"0","IRF1"
"238",8.32227295230723e-258,0.733699279324271,0.41,0.211,3.12526316177993e-253,"0","THEM4"
"239",8.93659555730272e-258,0.80186800549361,0.39,0.197,3.35595972963389e-253,"0","IMPDH2"
"240",3.16090966771771e-257,0.475007974765595,0.89,0.694,1.18701640751803e-252,"0","GSTK1"
"241",3.64394848184617e-255,0.513493937748543,0.787,0.551,1.36841197338769e-250,"0","SERP1"
"242",1.32981793871025e-249,-1.51705639971542,0.269,0.43,4.99386530523862e-245,"0","ARAP2"
"243",9.08099447304371e-249,0.533144767651465,0.704,0.462,3.4101858544621e-244,"0","NDFIP1"
"244",1.87635466141201e-248,0.603380368229554,0.657,0.42,7.04627466000054e-244,"0","RNASET2"
"245",5.03236787735719e-248,0.485243668240025,0.782,0.542,1.88980510898395e-243,"0","LEPROTL1"
"246",6.47831980810182e-248,-0.600616775504057,0.889,0.85,2.43280343753648e-243,"0","ARPC2"
"247",4.14387644212807e-247,-1.60901715274788,0.229,0.394,1.55614992031235e-242,"0","DNAJC1"
"248",7.45024154866947e-247,0.391623195249166,0.723,0.45,2.79778920877185e-242,"0","COTL1"
"249",6.3841235971116e-245,0.327344437006842,0.989,0.894,2.39742993442332e-240,"0","PFDN5"
"250",1.78679002021952e-244,-1.05145772032746,0.55,0.639,6.70993256293036e-240,"0","PARP8"
"251",6.57718147099749e-242,0.558590251293251,0.574,0.339,2.46992895780369e-237,"0","CD5"
"252",1.22222530083293e-241,-2.03656844078893,0.176,0.341,4.58982267221792e-237,"0","AC002316.1"
"253",1.04329537213499e-238,-1.64377227988682,0.216,0.375,3.91788711097855e-234,"0","RASSF1"
"254",1.9554739553227e-238,0.390681724039224,0.945,0.792,7.34339134442332e-234,"0","SLC25A6"
"255",3.1848928710576e-234,0.464087486978799,0.844,0.638,1.19602281986826e-229,"0","RPL17"
"256",2.31093256574359e-232,0.702426578179044,0.46,0.26,8.6782450641369e-228,"0","SNHG32"
"257",3.20643983984476e-232,-0.738021536654256,0.726,0.746,1.2041143530569e-227,"0","SEPTIN7"
"258",8.24374008910594e-232,0.444579990821694,0.983,0.883,3.09577171566195e-227,"0","RPL7"
"259",8.36496083452527e-232,0.521791782579643,0.712,0.485,3.14129374218927e-227,"0","SMDT1"
"260",2.38984177053197e-230,0.525205797084183,0.67,0.428,8.97457280087871e-226,"0","PRDX2"
"261",1.43614296387755e-229,-0.408867333812684,0.98,0.933,5.39314767224937e-225,"0","CALM1"
"262",2.11254177056538e-228,0.63179391177126,0.514,0.299,7.93322811100419e-224,"0","PPA1"
"263",3.16562356919889e-228,0.613055872498275,0.517,0.301,1.18878661894126e-223,"0","ALKBH7"
"264",7.93998056938553e-228,-1.144044599956,0.487,0.576,2.98170090322135e-223,"0","FAM49B"
"265",7.66942370356092e-227,-1.87268846038357,0.193,0.347,2.88009868339823e-222,"0","LYST"
"266",2.59808816426323e-226,-1.05692588451035,0.503,0.594,9.75660048325772e-222,"0","MBP"
"267",8.59484902225247e-226,0.356564053231347,0.966,0.823,3.22762365332647e-221,"0","HSPA8"
"268",3.61186019088049e-224,-0.35690515262987,1,1,1.35636185748135e-219,"0","MALAT1"
"269",3.03229880683047e-223,0.691889399131255,0.416,0.225,1.13871917092905e-218,"0","TMEM238"
"270",2.09969318177149e-219,0.396934435650779,0.981,0.925,7.88497780550649e-215,"0","RPS26"
"271",5.28617394990666e-216,-0.333693103305988,0.999,0.998,1.98511690340845e-211,"0","MT-CO2"
"272",9.75714456068845e-215,-1.28278562900509,0.325,0.456,3.66410049687533e-210,"0","ARPC5L"
"273",2.34703842149549e-213,0.558363524550728,0.503,0.296,8.81383338424202e-209,"0","FOXP1"
"274",1.06660040235942e-210,-0.856368527195552,0.667,0.71,4.00540449098035e-206,"0","SYNE2"
"275",8.89408505810359e-208,0.319529431853449,0.971,0.86,3.33999576186964e-203,"0","HNRNPA1"
"276",1.69879349925973e-206,-0.627682789467602,0.789,0.8,6.37947922777005e-202,"0","ARL4C"
"277",6.90624357196269e-206,-0.611786189909224,0.845,0.813,2.59350164857915e-201,"0","UBB"
"278",3.04040223580192e-205,-1.07493139660655,0.463,0.558,1.14176225161069e-200,"0","AKNA"
"279",5.77281031935051e-205,-0.709081377911458,0.795,0.793,2.1678634592257e-200,"0","JAK1"
"280",6.24505913691941e-205,0.492812143211564,0.688,0.462,2.34520705768734e-200,"0","ST13"
"281",1.57456543723061e-204,0.672324499032709,0.465,0.274,5.91296558643213e-200,"0","TRADD"
"282",1.07629696705986e-199,0.513360740085049,0.621,0.402,4.04181800039987e-195,"0","EIF2S3"
"283",1.61735387833187e-198,0.398167789469613,0.865,0.666,6.07364901929969e-194,"0","EIF3H"
"284",3.28374392817893e-198,0.537286547178744,0.524,0.317,1.23314435734903e-193,"0","HSPD1"
"285",1.71722656625591e-197,-1.06411844575586,0.413,0.52,6.44870092426081e-193,"0","CLEC2B"
"286",1.99017371376726e-197,-0.72710304585311,0.713,0.727,7.47369934731021e-193,"0","MSN"
"287",2.72179253535629e-197,0.853444665462081,0.412,0.242,1.02211475080235e-192,"0","FOS"
"288",5.88414935384451e-197,0.466185836917712,0.686,0.459,2.20967460684923e-192,"0","PEBP1"
"289",1.04093525606784e-195,-1.13678706365061,0.476,0.559,3.90902416711157e-191,"0","PIP4K2A"
