"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6417,3.25033219166769e-38,0.65918140824138,0.382,0.277,1.22059724793697e-33,9,"ERN1"
6400,6.27803863517428e-51,0.652013665688922,0.612,0.485,2.357591848667e-46,9,"DUSP2"
6422,6.31170509808017e-33,0.636098757018338,0.337,0.241,2.37023461548205e-28,9,"AQP3"
6448,3.69036013824742e-20,0.614030109890759,0.482,0.426,1.38584094271605e-15,9,"DUSP1"
6413,3.93389156390895e-41,0.600831257594683,0.506,0.409,1.47729429899473e-36,9,"PBXIP1"
6434,4.15717563938262e-26,0.580248588615752,0.351,0.27,1.56114416785736e-21,9,"SIT1"
7124,3.62649091030304e-189,2.76509405886899,0.415,0.23,1.3618561315461e-184,10,"MSI2"
7675,2.6783848226271e-60,2.66078162094553,0.344,0.266,1.00581385244115e-55,10,"ANK3"
7505,2.13880967396534e-107,2.61213306795258,0.313,0.178,8.03187196864204e-103,10,"ZNF407"
6912,2.66371742347232e-296,2.60957748385858,0.611,0.43,1.00030580403656e-291,10,"RUNX1"
7642,1.58682634357014e-72,2.60149286574341,0.377,0.294,5.95900896800893e-68,10,"PRKCA"
6998,3.10231868897995e-240,2.59648963846678,0.557,0.383,1.16501373727264e-235,10,"CHST11"
7561,1.81705631409559e-93,2.59568830508741,0.367,0.252,6.82359157632317e-89,10,"WWOX"
7453,2.22796821597421e-118,2.588197658122,0.363,0.223,8.36668904144794e-114,10,"RAD51B"
7160,6.82707427701353e-180,2.57877451745611,0.444,0.268,2.56377120324689e-175,10,"ARL15"
7586,9.88817353957197e-88,2.52453249515343,0.303,0.185,3.71330580931546e-83,10,"MGAT5"
8199,0,4.6435384834174,0.325,0.016,0,11,"KIR2DL1"
8137,0,4.32644638970973,0.529,0.039,0,11,"MYOM2"
8126,0,4.03156361721122,0.576,0.048,0,11,"KIR3DL1"
8123,0,3.97137241216138,0.586,0.044,0,11,"AKR1C3"
8192,0,3.93817323189999,0.37,0.028,0,11,"KIR2DL3"
8105,0,3.83251022824018,0.788,0.058,0,11,"IGFBP7"
8135,0,3.56247409022066,0.541,0.047,0,11,"CHST2"
8209,0,3.49323764160134,0.302,0.026,0,11,"RASSF4"
8193,0,3.48418417392695,0.367,0.026,0,11,"LINGO2"
8112,0,3.41610696561807,0.713,0.066,0,11,"SH2D1B"
9591,0,5.53274324230139,0.431,0.008,0,12,"SPTSSB"
9573,0,4.79995443290389,0.5,0.013,0,12,"PPP1R9A"
9603,0,4.57381569873352,0.37,0.018,0,12,"KIR2DL4"
9614,0,4.46685480172457,0.31,0.006,0,12,"GAB1"
9559,0,3.94836947266636,0.764,0.064,0,12,"XCL1"
9570,0,3.72071090929937,0.555,0.042,0,12,"ITGAX"
9564,0,3.68364567718003,0.672,0.046,0,12,"ATP8B4"
9574,0,3.54190980621978,0.524,0.046,0,12,"GSN"
9560,0,3.52194455293163,0.776,0.08,0,12,"KLRC1"
9557,0,3.48696035894889,0.808,0.078,0,12,"NCAM1"
10506,0,4.04367214277654,0.433,0.094,0,13,"NCAM1"
10512,0,3.95488699412585,0.33,0.06,0,13,"ATP8B4"
10548,2.60198885488045e-278,3.26447691289911,0.378,0.095,9.77124874673257e-274,13,"CTBP2"
10620,1.20634958675289e-155,2.93844399894907,0.302,0.095,4.53020460313313e-151,13,"ZBTB16"
10611,6.75528743356345e-165,2.86383991613855,0.341,0.115,2.53681308992608e-160,13,"PLCG2"
10613,6.52867069423174e-164,2.86065708244488,0.373,0.136,2.45171170580485e-159,13,"LINC00299"
10594,1.14139695993587e-183,2.75982550565618,0.369,0.123,4.28628800364717e-179,13,"LYN"
10586,8.1849888326708e-206,2.54579983652001,0.562,0.278,3.07370885633287e-201,13,"MCTP2"
10666,2.3850862847539e-122,2.52091051933701,0.494,0.292,8.95671452513633e-118,13,"NCALD"
10691,3.68607761219119e-108,2.4994218701329,0.423,0.229,1.38423272570616e-103,13,"FNDC3B"
