cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32
STMN3,SLAMF7,MNDA,NKG7,FAM210B,GZMA,SLC22A16,PRDX1,PAX5,RRP12,CDH23,BCL11B,AC020916.1,EPB42,PNMT,RNASE1,IMPDH2,FCRLA,CD34,IRF8,E2F1,IGFBP2,KIT,GAS6,HELLS,SCN9A,LNCAROD,AP000829.1,PNPLA7,MARCHF8,MS4A4A,G0S2,RND3
ANK3,CD3E,ANPEP,ADGRG1,ADIPOR1,NCR3,PLEKHH3,CITED2,CD19,GAB2,AC090559.1,CBLB,MSRB3,AC010615.2,SLC16A9,TMEM176B,UBAC1,AL139020.1,CYYR1,HLA-DQA2,ROR1,TRIM47,C2orf88,PRDX4,FOXM1,PLD4,CCND1,BMP6,LINC01374,MPP1,TSPAN4,IGHM,TF
OXNAD1,ZBTB38,CLEC7A,TXK,SLC6A8,IKZF2,ART4,CAPRIN1,FCRLA,EMILIN2,WARS1,SMYD3,SLC22A15,ACSL6,ATP7B,NRP1,ATP5IF1,BCL7A,CPA3,CD74,POU2AF1,CD34,GUCY1B1,FKBP11,CDC6,PACSIN1,FLT3,MPL,ERG,REXO2,FCGRT,RALGPS2,PCDH18
TESPA1,SAMD3,CSTA,CD247,HBQ1,C12orf75,ANKLE1,H2AZ1,ADAM28,TYMP,LILRB1,PRKCQ,EREG,GYPB,THRB,LIPN,TMEM14B,APBB2,KRT8,CCSER1,ARPP21,CHRM3,CRACD,SEC11C,GTSE1,PLXNA4,VPREB1,AGBL4,EBF1,SELENBP1,MCOLN1,RAB30,ADAMTS9-AS2
CD5,GBP5,BST1,CD7,UBB,SYTL2,CDK1,H1-5,DENND5B,AC005747.1,SCIMP,CASK,MGST1,HMBS,MARVELD2,WDR86-AS1,H1-3,IRF4,SERPING1,ST14,RAD51,EGFL7,PDZD2,DENND5B,BIRC5,RHEX,TTC28,FGF13,SMIM3,SNCA,A2M,BACH2,SVEP1
TNFSF8,TGFBR3,C5AR1,CX3CR1,SLC25A37,CD3D,HJURP,HMGN3,AC025279.1,MAML3,IFITM3,WWOX,BRIP1,CCRL2,XACT,TMEM176A,TUBB4B,VPREB3,FLT3,HLA-DMB,TYMS,MEST,SLC27A2,SSR4,DTL,CIB2,C1QTNF4,ZNF521,TAPT1-AS1,ISCA1,CST3,POU2AF1,FBXL7
THEM4,RUNX3,LILRA6,IGFBP7,MPP1,GZMM,BCAM,XBP1,IGHM,VCAN,MAFB,TMEM181,ERLIN1,SLC4A1,ACSBG1,CLEC5A,CCT6A,NEIL1,EGFL7,GPAT3,TCL1A,CNN3,LTC4S,ITM2C,TROAP,SLC41A2,BAALC,MEIS2,IGHV5-78,UBB,MS4A7,PID1,C7
ITGA6,SIT1,EPB41L3,MATK,MARCHF8,SLAMF7,CKAP2L,CDK6,STAP1,RAB11FIP1,PILRA,CNOT6L,SLC44A1,NATD1,PIR,MERTK,H1-0,CD79B,DEPTOR,ALCAM,PAX5,FAM30A,HPGDS,RASGRP3,KIF11,NRP1,ZRANB2-AS2,TCTEX1D1,SOCS2,R3HDM4,CTSL,VAV2,ADAMTS9
SERINC5,PPP2R2B,TGFBI,TBX21,PITHD1,TRG-AS1,SOX6,HSP90AB1,NIBAN3,ATG7,CD68,HIVEP2,CITED4,MRC2,EPHB4,CR1,RHAG,MYO1C,ITGA9,ALDH2,RAPGEF5,FSCN1,PBX1,HERPUD1,BRCA1,IRF8,CLNK,RBPMS,SMAD1,HSPA5,FABP5,E2F5,RARRES2
AC010197.2,CMC1,OSCAR,GZMA,GPR146,APOBEC3G,DEPDC1,CD164,COBLL1,FCN1,SLC2A6,ARHGAP15,RAB32,SLC22A23,FUT1,F13A1,FECH,CD19,BAALC,ADAM28,PTPRD,CPXM1,PPM1H,TRIB1,UHRF1,CCDC50,AL589693.1,KIAA1549,P4HA2,FECH,CREG1,RBP7,OLFML3
CD6,MATK,VCAN,CHST2,SMOX,SPON2,DLGAP5,PRDX5,RAB30,ARHGAP26,LILRA5,TXK,CXorf21,SMIM5,RPS6KL1,UACA,CD36,AEBP1,CAVIN2,HLA-DMA,H3C2,SLC9A3R2,ZNF521,SELENOM,ASPM,ZFAT,CASC15,TFPI,AL589693.1,RNF11,PLD3,AL139020.1,LAMA4
ATP6V0E2,SLAMF6,SIRPA,FCGR3A,GLRX5,HOPX,TLCD4,HSPD1,TCL1A,PTPRE,RRAS,AC002316.1,SLC2A9,GYPE,RYR3,LOXHD1,PPP1R14B,BACH2,CCDC171,RNASE6,CMTM8,MYCN,ALDH1A1,HSP90B1,SKA3,GAS6,BAALC-AS2,SPARC,GPSM1,SMIM1,CTSD,WDFY4,SLC22A3
