ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	celltype
PID_P38_MKK3_6PATHWAY	25	0.652195104865935	1.38569152853029	0.103130755064457	0.525436814303129	0.525436814303129	1685	tags=36%, list=11%, signal=32%	CD8 Terminally Exhausted
PID_NEPHRIN_NEPH1_PATHWAY	25	0.651564447837694	1.38435159804795	0.103130755064457	0.525436814303129	0.525436814303129	1733	tags=28%, list=11%, signal=25%	CD8 Terminally Exhausted
PID_FAK_PATHWAY	53	0.609541585092031	1.38417217266488	0.10431654676259	0.525436814303129	0.525436814303129	1774	tags=43%, list=12%, signal=39%	CD8 Terminally Exhausted
PID_IL1_PATHWAY	27	0.63975328116745	1.37114635713149	0.115107913669065	0.525436814303129	0.525436814303129	1940	tags=37%, list=13%, signal=32%	CD8 Terminally Exhausted
PID_PI3KCI_PATHWAY	46	0.607409519653183	1.36777637196288	0.103074141048825	0.525436814303129	0.525436814303129	703	tags=15%, list=5%, signal=15%	CD8 Terminally Exhausted
PID_RET_PATHWAY	31	0.630693566070778	1.36234396176227	0.10054844606947	0.525436814303129	0.525436814303129	1774	tags=39%, list=12%, signal=34%	CD8 Terminally Exhausted
PID_NCADHERIN_PATHWAY	27	0.633378872020481	1.35748445317879	0.122302158273381	0.525436814303129	0.525436814303129	1516	tags=37%, list=10%, signal=33%	CD8 Terminally Exhausted
PID_FCER1_PATHWAY	56	0.597456017958038	1.35558371919697	0.112115732368897	0.525436814303129	0.525436814303129	1774	tags=32%, list=12%, signal=29%	CD8 Terminally Exhausted
PID_HDAC_CLASSI_PATHWAY	62	0.582910498147883	1.33306859198717	0.124324324324324	0.525436814303129	0.525436814303129	1354	tags=19%, list=9%, signal=18%	CD8 Terminally Exhausted
PID_FGF_PATHWAY	39	0.594405295357369	1.31542073190796	0.123827392120075	0.525436814303129	0.525436814303129	1400	tags=23%, list=9%, signal=21%	CD8 Terminally Exhausted
PID_AJDISS_2PATHWAY	35	0.590568374713201	1.29819108194381	0.125233644859813	0.525436814303129	0.525436814303129	703	tags=26%, list=5%, signal=25%	CD8 Terminally Exhausted
PID_RHOA_REG_PATHWAY	40	-0.634916792372769	-1.39909228951378	0.129310344827586	0.530997798972854	0.530997798972854	643	tags=12%, list=4%, signal=12%	CD8 Terminally Exhausted
PID_CDC42_REG_PATHWAY	28	-0.607346311481799	-1.31309353318164	0.152272727272727	0.532345488950896	0.532345488950896	513	tags=14%, list=3%, signal=14%	CD8 Terminally Exhausted
PID_MET_PATHWAY	74	0.559790271039272	1.29311188360996	0.144160583941606	0.532345488950896	0.532345488950896	1770	tags=38%, list=12%, signal=34%	CD8 Terminally Exhausted
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	39	0.579650393937159	1.282768090054	0.135084427767355	0.532345488950896	0.532345488950896	1774	tags=41%, list=12%, signal=36%	CD8 Terminally Exhausted
PID_HDAC_CLASSIII_PATHWAY	24	0.600687946306084	1.27642786459244	0.153564899451554	0.532345488950896	0.532345488950896	160	tags=8%, list=1%, signal=8%	CD8 Terminally Exhausted
PID_S1P_S1P3_PATHWAY	25	0.599879034698029	1.27453777301021	0.154696132596685	0.532345488950896	0.532345488950896	1361	tags=24%, list=9%, signal=22%	CD8 Terminally Exhausted
PID_SHP2_PATHWAY	47	0.562300190397517	1.26996169523767	0.140794223826715	0.532345488950896	0.532345488950896	1195	tags=28%, list=8%, signal=26%	CD8 Terminally Exhausted
PID_AMB2_NEUTROPHILS_PATHWAY	32	0.582328445821799	1.2627001608109	0.157221206581353	0.532345488950896	0.532345488950896	2943	tags=34%, list=19%, signal=28%	CD8 Terminally Exhausted
PID_IL2_1PATHWAY	55	0.553572430289499	1.25593296086243	0.137432188065099	0.532345488950896	0.532345488950896	1460	tags=33%, list=10%, signal=30%	CD8 Terminally Exhausted
PID_CD8_TCR_PATHWAY	52	0.553133879335916	1.25486085633837	0.145421903052065	0.532345488950896	0.532345488950896	1587	tags=38%, list=10%, signal=35%	CD8 Terminally Exhausted
PID_AVB3_INTEGRIN_PATHWAY	52	0.547810527314096	1.2427840945882	0.1508078994614	0.532345488950896	0.532345488950896	908	tags=15%, list=6%, signal=15%	CD8 Terminally Exhausted
PID_NFKAPPAB_ATYPICAL_PATHWAY	16	0.643201619473873	1.30599711800956	0.166666666666667	0.533197463768116	0.533197463768116	694	tags=38%, list=5%, signal=36%	CD8 Terminally Exhausted
PID_NFKAPPAB_CANONICAL_PATHWAY	22	0.61076601670081	1.28502083062262	0.165154264972777	0.533197463768116	0.533197463768116	1682	tags=41%, list=11%, signal=36%	CD8 Terminally Exhausted
PID_ARF6_DOWNSTREAM_PATHWAY	15	0.634701542829844	1.2702424818844	0.183303085299456	0.533197463768116	0.533197463768116	703	tags=27%, list=5%, signal=25%	CD8 Terminally Exhausted
PID_S1P_META_PATHWAY	19	0.614904781935431	1.2671740827813	0.180035650623886	0.533197463768116	0.533197463768116	1533	tags=32%, list=10%, signal=28%	CD8 Terminally Exhausted
PID_WNT_SIGNALING_PATHWAY	10	-0.672894924663627	-1.26686270865633	0.217021276595745	0.533197463768116	0.533197463768116	757	tags=20%, list=5%, signal=19%	CD8 Terminally Exhausted
PID_TCR_JNK_PATHWAY	14	0.641688830951734	1.25787046235028	0.188065099457505	0.533197463768116	0.533197463768116	2489	tags=50%, list=16%, signal=42%	CD8 Terminally Exhausted
PID_SYNDECAN_3_PATHWAY	13	-0.63436785511169	-1.25307225509091	0.220302375809935	0.533197463768116	0.533197463768116	235	tags=23%, list=2%, signal=23%	CD8 Terminally Exhausted
PID_WNT_CANONICAL_PATHWAY	17	0.610354560181015	1.25077005883222	0.202554744525547	0.533197463768116	0.533197463768116	2597	tags=47%, list=17%, signal=39%	CD8 Terminally Exhausted
PID_CXCR4_PATHWAY	96	0.538625065486427	1.24412311115362	0.161172161172161	0.533197463768116	0.533197463768116	2019	tags=34%, list=13%, signal=30%	CD8 Terminally Exhausted
PID_LIS1_PATHWAY	25	0.58281199334125	1.23827614754151	0.18232044198895	0.533197463768116	0.533197463768116	703	tags=28%, list=5%, signal=27%	CD8 Terminally Exhausted
PID_RAC1_REG_PATHWAY	34	-0.571255084876259	-1.23767216459424	0.181222707423581	0.533197463768116	0.533197463768116	1482	tags=18%, list=10%, signal=16%	CD8 Terminally Exhausted
PID_IFNG_PATHWAY	37	0.554922552045086	1.21689041048532	0.182674199623352	0.533197463768116	0.533197463768116	1685	tags=41%, list=11%, signal=36%	CD8 Terminally Exhausted
PID_A6B1_A6B4_INTEGRIN_PATHWAY	37	0.55397809367869	1.21481930646381	0.184557438794727	0.533197463768116	0.533197463768116	1357	tags=22%, list=9%, signal=20%	CD8 Terminally Exhausted
PID_MAPK_TRK_PATHWAY	33	0.552787910183685	1.21003174438523	0.20508166969147	0.533197463768116	0.533197463768116	745	tags=24%, list=5%, signal=23%	CD8 Terminally Exhausted
PID_LYMPH_ANGIOGENESIS_PATHWAY	22	0.573397495811634	1.2063993513014	0.215970961887477	0.533197463768116	0.533197463768116	1581	tags=41%, list=10%, signal=37%	CD8 Terminally Exhausted
PID_THROMBIN_PAR1_PATHWAY	39	-0.549111871236657	-1.20319151706839	0.202558635394456	0.533197463768116	0.533197463768116	1044	tags=18%, list=7%, signal=17%	CD8 Terminally Exhausted
PID_SYNDECAN_4_PATHWAY	26	-0.548370741557612	-1.17806720063947	0.219730941704036	0.533197463768116	0.533197463768116	1339	tags=19%, list=9%, signal=18%	CD8 Terminally Exhausted
PID_TXA2PATHWAY	49	0.517070958378425	1.17677986131441	0.194642857142857	0.533197463768116	0.533197463768116	1506	tags=29%, list=10%, signal=26%	CD8 Terminally Exhausted
PID_ERBB1_DOWNSTREAM_PATHWAY	99	0.511055020477456	1.17402598068942	0.185661764705882	0.533197463768116	0.533197463768116	1106	tags=23%, list=7%, signal=22%	CD8 Terminally Exhausted
PID_AR_TF_PATHWAY	43	0.521433029917536	1.16237861152314	0.211678832116788	0.533197463768116	0.533197463768116	2385	tags=44%, list=16%, signal=37%	CD8 Terminally Exhausted
PID_AR_PATHWAY	57	-0.52446662247673	-1.156097224666	0.210643015521064	0.533197463768116	0.533197463768116	1517	tags=26%, list=10%, signal=24%	CD8 Terminally Exhausted
PID_TRKR_PATHWAY	52	0.508635193423792	1.15390942089808	0.199281867145422	0.533197463768116	0.533197463768116	1774	tags=33%, list=12%, signal=29%	CD8 Terminally Exhausted
PID_PDGFRB_PATHWAY	122	0.486200259294207	1.10367898777084	0.221014492753623	0.533197463768116	0.533197463768116	1571	tags=34%, list=10%, signal=30%	CD8 Terminally Exhausted
