gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold,celltype
BCDIN3D-AS1,0.0389117729757234,-1.79073760054597e-07,0.0014426949936348,0.592162365382833,0.973437238322782,FALSE,CD8 Terminally Exhausted
ASIC1,0.0125895828689673,4.42962858987762e-08,0.00144269500229263,0.477716046021358,0.973437238322782,FALSE,CD8 Terminally Exhausted
SMARCD1,10.6580970722773,5.84114026530401e-06,0.00144269090809098,0.353838248617004,0.973437238322782,FALSE,CD8 Terminally Exhausted
COX14,30.0104146792652,3.31766189906165e-06,0.00144266164324615,0.514406567941487,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC074032.1,4.98538977888471,-1.40027229757565e-06,0.00144269066617359,0.413841120267833,0.973437238322782,FALSE,CD8 Terminally Exhausted
CERS5,6.3793722594235,1.5615199220528e-06,0.00144268728956335,0.599989694466047,0.973437238322782,FALSE,CD8 Terminally Exhausted
LIMA1,7.70986093949984,2.05918797876579e-06,0.00144268850172291,0.703063995163402,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC008147.2,0.0489922459967445,9.38488106545347e-08,0.00144269499244774,0.516932505407375,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC008147.1,0.0287609377790566,-2.04186496147714e-07,0.00144269499215258,0.353504594770154,0.973437238322782,FALSE,CD8 Terminally Exhausted
FAM186A,0.0263221901067562,7.12926859875254e-08,0.00144269499653137,0.516932509112375,0.973437238322782,FALSE,CD8 Terminally Exhausted
LARP4,9.87373876095535,-3.98935789534579e-07,0.00144268710881049,0.478840965327192,0.973437238322782,FALSE,CD8 Terminally Exhausted
DIP2B,8.59861391140796,2.14502322703159e-06,0.00144268821016582,0.53528296802458,0.973437238322782,FALSE,CD8 Terminally Exhausted
ATF1,8.9364185595578,1.98404175302152e-06,0.00144268571857225,0.459303822575075,0.973437238322782,FALSE,CD8 Terminally Exhausted
METTL7A,0.620535015034145,-2.44798504130149e-08,0.00144269421154673,0.674603199055328,0.973437238322782,FALSE,CD8 Terminally Exhausted
HIGD1C,0.115019799753999,-2.57386937083902e-07,0.00144269500159654,0.295341531378215,0.973437238322782,FALSE,CD8 Terminally Exhausted
SLC11A2,2.88901590094097,1.35307959476389e-06,0.0014426926408059,0.384618854090136,0.973437238322782,FALSE,CD8 Terminally Exhausted
LETMD1,12.3388899433255,2.34645214015469e-06,0.00144268213629893,0.457195718584877,0.973437238322782,FALSE,CD8 Terminally Exhausted
CSRNP2,1.06703796431438,1.55125865818061e-06,0.00144269433552633,0.154910635207105,0.973437238322782,FALSE,CD8 Terminally Exhausted
TFCP2,8.35117164826056,6.49252062746932e-07,0.00144268632807966,0.711382487195395,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC139768.1,0.0211109059824425,7.89726500307393e-08,0.0014426949947787,0.52519986024812,0.973437238322782,FALSE,CD8 Terminally Exhausted
CELA1,0.190070809253433,-1.8067071417208e-07,0.00144269480111711,0.303080540548598,0.973437238322782,FALSE,CD8 Terminally Exhausted
SCN8A,0.224140107668881,1.62236325437447e-07,0.00144269484231134,0.61969834927457,0.973437238322782,FALSE,CD8 Terminally Exhausted
FIGNL2,0.0952823177171215,1.62725486897932e-07,0.00144269497421398,0.727536958000554,0.973437238322782,FALSE,CD8 Terminally Exhausted
GRASP,0.794110495278833,-9.78874605563637e-07,0.00144269464471226,0.104266385224263,0.973437238322782,FALSE,CD8 Terminally Exhausted
NR4A1,1.43927609684348,-5.00126583009338e-07,0.00144269431284294,0.415052467724254,0.973437238322782,FALSE,CD8 Terminally Exhausted
KRT7,0.0746105215844028,1.03592144668906e-07,0.00144269499015091,0.516932490805196,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC021066.1,0.0231450358601885,7.8324466653615e-08,0.00144269499384231,0.534201180155536,0.973437238322782,FALSE,CD8 Terminally Exhausted
KRT72,0.416651628820699,-4.54877222708149e-07,0.00144269501279763,0.127430407152164,0.973437238322782,FALSE,CD8 Terminally Exhausted
KRT2,0.0515013558446907,1.14246258554357e-07,0.00144269498607212,0.642209948458922,0.973437238322782,FALSE,CD8 Terminally Exhausted
KRT8,0.0263221901067562,7.12926859875254e-08,0.00144269499653137,0.516932509112375,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC068888.2,0.135831470901859,1.34804836116573e-07,0.00144269498570809,0.582987435948299,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC068888.1,2.26557638803903,1.30719707905446e-06,0.00144269336579978,0.314289138361476,0.973437238322782,FALSE,CD8 Terminally Exhausted
TNS2,0.0389117729757234,-1.79073760054597e-07,0.0014426949936348,0.592162365382833,0.973437238322782,FALSE,CD8 Terminally Exhausted
IGFBP6,0.388262049981871,-1.95478650016604e-07,0.00144269470660979,0.51591867422064,0.973437238322782,FALSE,CD8 Terminally Exhausted
SOAT2,0.093256494287269,-1.07619389864621e-07,0.00144269491694294,0.505756351114085,0.973437238322782,FALSE,CD8 Terminally Exhausted
CSAD,3.92607649329562,-5.69103016984554e-07,0.00144268964937339,0.742994183419757,0.973437238322782,FALSE,CD8 Terminally Exhausted
ESPL1,0.0125895828689673,4.42962858987762e-08,0.00144269500229263,0.477716046021358,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC073611.1,0.187456263628441,-2.27323043701211e-07,0.00144269497548941,0.366099028006777,0.973437238322782,FALSE,CD8 Terminally Exhausted
SP1,5.55553473884943,2.12329489997154e-06,0.00144269014524683,0.297848584872282,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC023509.1,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
PCBP2-OT1,0.0337004888514098,9.64917448456238e-08,0.00144269498915444,0.580044420512725,0.973437238322782,FALSE,CD8 Terminally Exhausted
TARBP2,7.28118605560723,-1.88489968278518e-07,0.00144268741159664,0.724381559975711,0.973437238322782,FALSE,CD8 Terminally Exhausted
ATF7-NPFF,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
ATF7,3.52261220623685,-1.08023485113057e-06,0.00144269242187821,0.400702173792963,0.973437238322782,FALSE,CD8 Terminally Exhausted
CALCOCO1,13.5666556480539,-4.66411718560038e-06,0.00144268372858631,0.648791754669037,0.973437238322782,FALSE,CD8 Terminally Exhausted
CISTR,0.0489922459967445,9.38488106545347e-08,0.00144269499244774,0.516932505407375,0.973437238322782,FALSE,CD8 Terminally Exhausted
HOXC5,0.0786327815405557,-1.47228938179662e-07,0.00144269493599045,0.45479733709019,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC023794.4,0.062056808835912,1.25804388462134e-07,0.00144269498412287,0.678489193547512,0.973437238322782,FALSE,CD8 Terminally Exhausted
FAM242C,0.125276017910637,1.30272231443016e-07,0.00144269498891512,0.51693249989805,0.973437238322782,FALSE,CD8 Terminally Exhausted
SMUG1,5.5608980254547,-3.8855650655648e-07,0.00144268949198306,0.708771937840866,0.973437238322782,FALSE,CD8 Terminally Exhausted
CBX5,8.5303886169515,1.99484811958411e-06,0.00144268819237495,0.408501552742126,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC078778.1,0.0851659745756241,1.25243550569778e-07,0.0014426949866416,0.582987008644848,0.973437238322782,FALSE,CD8 Terminally Exhausted
HNRNPA1,206.553511007614,-6.94626443334625e-06,0.00144264252605733,0.389941868887661,0.973437238322782,FALSE,CD8 Terminally Exhausted
COPZ1,28.6424057414198,-8.54278697882235e-07,0.00144267679085634,0.60816424510316,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC079313.2,0.0125895828689673,4.42962858987762e-08,0.00144269500229263,0.477716046021358,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC079313.1,0.0125895828689673,4.42962858987762e-08,0.00144269500229263,0.477716046021358,0.973437238322782,FALSE,CD8 Terminally Exhausted
ZNF385A,1.34391655014096,-3.00311437967087e-07,0.00144269485991901,0.268551977361799,0.973437238322782,FALSE,CD8 Terminally Exhausted
ITGA5,4.10242014379697,1.04399497114935e-06,0.00144269007057954,0.5984976224334,0.973437238322782,FALSE,CD8 Terminally Exhausted
GTSF1,4.3879918954845,7.78233946583125e-07,0.00144269198319182,0.593186838936768,0.973437238322782,FALSE,CD8 Terminally Exhausted
NCKAP1L,27.2649833136967,4.4869494869028e-06,0.00144267394951583,0.589013550351692,0.973437238322782,FALSE,CD8 Terminally Exhausted
MUCL1,0.0125895828689673,4.42962858987762e-08,0.00144269500229263,0.477716046021358,0.973437238322782,FALSE,CD8 Terminally Exhausted
TESPA1,15.2660572023544,-1.08521203659142e-06,0.00144268744359301,0.614589524749064,0.973437238322782,FALSE,CD8 Terminally Exhausted
METTL7B,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
BLOC1S1,13.1806277053109,-1.03625782987099e-06,0.00144268880778243,0.528663574726483,0.973437238322782,FALSE,CD8 Terminally Exhausted
RDH5,0.0231450358601885,7.8324466653615e-08,0.00144269499384231,0.534201180155536,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC023055.1,0.0231450358601885,7.8324466653615e-08,0.00144269499384231,0.534201180155536,0.973437238322782,FALSE,CD8 Terminally Exhausted
ORMDL2,17.1975792772288,-4.01611838002185e-06,0.00144267808606531,0.346189756667056,0.973437238322782,FALSE,CD8 Terminally Exhausted
PMEL,0.0519059736392451,-7.03151744239275e-08,0.00144269493547912,0.494207116972003,0.973437238322782,FALSE,CD8 Terminally Exhausted
CDK2,2.18909806009268,-4.79869407870889e-07,0.00144269261145361,0.647153612119117,0.973437238322782,FALSE,CD8 Terminally Exhausted
IKZF4,0.119578684394025,-9.83839809866093e-08,0.0014426948253944,0.479492094066362,0.973437238322782,FALSE,CD8 Terminally Exhausted
RPS26,551.47122645302,1.43658924478862e-06,0.00144269048672484,0.451070609817191,0.973437238322782,FALSE,CD8 Terminally Exhausted
ERBB3,0.211744323857451,-2.31092286686121e-07,0.00144269490248874,0.343422726044661,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC034102.2,0.0519059736392451,-7.03151744239275e-08,0.00144269493547912,0.494207116972003,0.973437238322782,FALSE,CD8 Terminally Exhausted
PA2G4,37.6703888997039,-3.35629941671671e-06,0.00144265221699639,0.544938561224528,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC034102.4,0.0377687486069018,1.01276737775767e-07,0.00144269498815843,0.595536802886017,0.973437238322782,FALSE,CD8 Terminally Exhausted
RPL41,2696.43047048929,7.90413979583044e-05,0.00144374476071393,0.574803509516965,0.973437238322782,FALSE,CD8 Terminally Exhausted
ESYT1,22.6828501393551,5.29209098125479e-06,0.00144268442028595,0.118178938151436,0.973437238322782,FALSE,CD8 Terminally Exhausted
ZC3H10,1.07036418118353,-2.45601394051027e-07,0.00144269363102879,0.633050416060743,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC034102.5,0.0957214275668453,1.36473118012316e-07,0.0014426949845394,0.64218593750952,0.973437238322782,FALSE,CD8 Terminally Exhausted
MYL6,440.905847352634,-4.67043681001458e-06,0.00144263362253809,0.620149322665873,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC073896.4,0.14638692389308,1.53139773014365e-07,0.00144269498458181,0.642186413889683,0.973437238322782,FALSE,CD8 Terminally Exhausted
SMARCC2,23.4101256301508,3.38710453200553e-06,0.00144267110153236,0.434709385326897,0.973437238322782,FALSE,CD8 Terminally Exhausted
ANKRD52,5.38469189714425,8.09637065839395e-07,0.00144268789889685,0.566088377000346,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC073896.1,0.0680773285493345,-2.11171280846528e-07,0.00144269495890886,0.400771217080826,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC073896.2,3.24263175314715,-6.9405704378138e-07,0.00144269089680899,0.662304354483744,0.973437238322782,FALSE,CD8 Terminally Exhausted
PAN2,3.43507176332328,-1.40742997399789e-06,0.00144269298289743,0.27809429799089,0.973437238322782,FALSE,CD8 Terminally Exhausted
STAT2,8.76581688011107,4.29544829485478e-07,0.00144268677577557,0.268971374140403,0.973437238322782,FALSE,CD8 Terminally Exhausted
TIMELESS,1.36821875570022,-3.10840345213794e-07,0.00144269340262599,0.664901222602759,0.973437238322782,FALSE,CD8 Terminally Exhausted
GLS2,0.0737552861959549,1.34312597251376e-07,0.00144269498326255,0.70981266170774,0.973437238322782,FALSE,CD8 Terminally Exhausted
ATP5F1B,112.845660732533,1.99121007094177e-06,0.00144265360621152,0.732775767614824,0.973437238322782,FALSE,CD8 Terminally Exhausted
PTGES3,67.7908858088361,-4.2653233334791e-06,0.00144263511116193,0.52479968550888,0.973437238322782,FALSE,CD8 Terminally Exhausted
RDH16,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC026120.3,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
ZBTB39,1.54127063221522,-6.06733253928506e-07,0.00144269325046416,0.525772595071164,0.973437238322782,FALSE,CD8 Terminally Exhausted
NEMP1,1.22494219698444,5.10179364694589e-07,0.0014426936258052,0.736540900844389,0.973437238322782,FALSE,CD8 Terminally Exhausted
STAT6,12.6241367348328,1.80648339574555e-06,0.00144268263680023,0.640260370927963,0.973437238322782,FALSE,CD8 Terminally Exhausted
LRP1,1.31921236437323,-3.53772893839638e-07,0.00144269490407654,0.301945117233619,0.973437238322782,FALSE,CD8 Terminally Exhausted
NXPH4,0.0287609377790566,-2.04186496147714e-07,0.00144269499215258,0.353504594770154,0.973437238322782,FALSE,CD8 Terminally Exhausted
SHMT2,12.1753699627425,-1.41217075964179e-06,0.00144268508851898,0.597830563052097,0.973437238322782,FALSE,CD8 Terminally Exhausted
NDUFA4L2,0.127609382622967,-2.04059587320336e-07,0.00144269496701156,0.373005119696415,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC137834.1,0.0287609377790566,-2.04186496147714e-07,0.00144269499215258,0.353504594770154,0.973437238322782,FALSE,CD8 Terminally Exhausted
R3HDM2,20.2933867016288,6.88082789611293e-06,0.00144268080023166,0.0702638237062057,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC126614.1,0.252340401052447,-2.69889954165046e-07,0.00144269497560372,0.324666382793452,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC022506.2,0.101777817400744,-8.57068312878879e-08,0.00144269490654288,0.532372169523098,0.973437238322782,FALSE,CD8 Terminally Exhausted
GLI1,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
MBD6,6.06186808978608,8.12724097363365e-07,0.00144268772820909,0.719403601119414,0.973437238322782,FALSE,CD8 Terminally Exhausted
KIF5A,0.062056808835912,1.25804388462134e-07,0.00144269498412287,0.678489193547512,0.973437238322782,FALSE,CD8 Terminally Exhausted
PIP4K2C,6.40122923220548,-2.05113551285249e-07,0.00144268683189486,0.355768753475957,0.973437238322782,FALSE,CD8 Terminally Exhausted
DTX3,8.20765121416569,-2.74075677758768e-06,0.00144268844837723,0.249199581954054,0.973437238322782,FALSE,CD8 Terminally Exhausted
ARHGEF25,0.229949808645286,-3.61824047884823e-07,0.0014426949053263,0.228626792183034,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC025165.1,0.0125895828689673,4.42962858987762e-08,0.00144269500229263,0.477716046021358,0.973437238322782,FALSE,CD8 Terminally Exhausted
B4GALNT1,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
OS9,25.3697355788311,-1.93463429844523e-06,0.00144267241646018,0.640885334063118,0.973437238322782,FALSE,CD8 Terminally Exhausted
AGAP2,9.09857893885974,3.00266161481508e-06,0.00144268675190202,0.268664558596326,0.973437238322782,FALSE,CD8 Terminally Exhausted
AGAP2-AS1,0.0753144361035006,1.28496937400295e-07,0.00144269498537925,0.658540027675546,0.973437238322782,FALSE,CD8 Terminally Exhausted
TSPAN31,6.81428837916591,-3.39614707614761e-06,0.0014426876203258,0.206264055432215,0.973437238322782,FALSE,CD8 Terminally Exhausted
CDK4,15.0571112516732,-2.49661199087069e-06,0.00144268001875705,0.682180207944718,0.973437238322782,FALSE,CD8 Terminally Exhausted
CYP27B1,0.321838253706022,-3.36018452244499e-07,0.00144269491781451,0.266816287698944,0.973437238322782,FALSE,CD8 Terminally Exhausted
EEF1AKMT3,0.119306951342065,7.29484529330632e-08,0.00144269490607591,0.689097436842035,0.973437238322782,FALSE,CD8 Terminally Exhausted
AVIL,0.253094844505475,-4.37438309272439e-07,0.00144269475070289,0.19364603724161,0.973437238322782,FALSE,CD8 Terminally Exhausted
CTDSP2,10.07089598647,9.03261739323959e-07,0.00144268563967566,0.709279538175772,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC083805.2,0.0125895828689673,4.42962858987762e-08,0.00144269500229263,0.477716046021358,0.973437238322782,FALSE,CD8 Terminally Exhausted
ATP23,3.41373209405284,-1.25495902977547e-06,0.00144269154483307,0.439244599247558,0.973437238322782,FALSE,CD8 Terminally Exhausted
SLC16A7,18.1927990585143,2.54511835959757e-06,0.00144268133374454,0.431907318105678,0.973437238322782,FALSE,CD8 Terminally Exhausted
TAFA2,2.92414283759975,-1.06433898318185e-06,0.00144269278397932,0.392733042479418,0.973437238322782,FALSE,CD8 Terminally Exhausted
MON2,19.0369156216623,8.42426356965597e-06,0.00144268516262647,0.036746429561398,0.973437238322782,FALSE,CD8 Terminally Exhausted
LINC01465,0.784975926248715,-8.97219892332653e-07,0.00144269438658239,0.188141755153708,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC048341.2,0.122043617673602,1.71827735702538e-07,0.00144269496900571,0.715897124804395,0.973437238322782,FALSE,CD8 Terminally Exhausted
DPY19L2,0.233046672706919,3.07648776209118e-07,0.00144269478596142,0.758173760338172,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC084357.2,0.116664956751524,5.77732909761187e-08,0.00144269486576247,0.559965576507215,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC025576.3,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
XPOT,5.01200390988551,-1.58174071722701e-06,0.00144268848755852,0.496177244788117,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC135279.4,1.40190509922138,-1.02946543253839e-07,0.00144269476433722,0.494957764812187,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC078962.3,0.0263221901067562,7.12926859875254e-08,0.00144269499653137,0.516932509112375,0.973437238322782,FALSE,CD8 Terminally Exhausted
GNS,4.88951322482144,8.62364896437581e-07,0.00144268962899689,0.702024525891928,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC025262.1,0.384500361867546,7.90185415094262e-09,0.0014426946987294,0.541143913878847,0.973437238322782,FALSE,CD8 Terminally Exhausted
TBC1D30,0.152788548360901,-1.33060974225766e-07,0.0014426949345526,0.476457726808246,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC025262.4,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
LINC02389,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
LEMD3,11.9798449936396,-2.60302458747871e-06,0.00144268193716867,0.506593559700558,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC026124.2,0.0422218119648851,1.08324916290932e-07,0.00144269498655901,0.615564144991783,0.973437238322782,FALSE,CD8 Terminally Exhausted
HMGA2-AS1,0.125276017910637,1.30272231443016e-07,0.00144269498891512,0.51693249989805,0.973437238322782,FALSE,CD8 Terminally Exhausted
LLPH,2.84989925721562,6.16417351618023e-07,0.00144269103404775,0.755449583601163,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC078927.1,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
LLPH-DT,0.0316663589736638,9.4629532245361e-08,0.00144269498971238,0.57247684028416,0.973437238322782,FALSE,CD8 Terminally Exhausted
IRAK3,0.0251791657379345,8.13623574830045e-08,0.00144269499304841,0.542926851267318,0.973437238322782,FALSE,CD8 Terminally Exhausted
HELB,14.0562785028104,-4.67591175002658e-06,0.00144268646320015,0.212783782346356,0.973437238322782,FALSE,CD8 Terminally Exhausted
GRIP1,0.383859192421458,-2.27887693290298e-07,0.00144269488270434,0.298381767913442,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC073530.1,0.0489922459967445,9.38488106545347e-08,0.00144269499244774,0.516932505407375,0.973437238322782,FALSE,CD8 Terminally Exhausted
CAND1,13.3010704707788,-2.13964901790636e-06,0.00144268358532686,0.614017732151149,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC078983.1,0.451787830697763,-3.46648228980886e-08,0.00144269474200265,0.467594381085141,0.973437238322782,FALSE,CD8 Terminally Exhausted
LINC01479,0.0211109059824425,7.89726500307393e-08,0.0014426949947787,0.52519986024812,0.973437238322782,FALSE,CD8 Terminally Exhausted
IFNG-AS1,8.65410895624911,-3.98404133817921e-06,0.00144268913383591,0.390673847072299,0.973437238322782,FALSE,CD8 Terminally Exhausted
IL26,0.360959014660696,-2.68611332421118e-07,0.00144269475864221,0.37548272285562,0.973437238322782,FALSE,CD8 Terminally Exhausted
MDM1,2.60552971844477,7.11456884112722e-07,0.00144269163290033,0.695599720881196,0.973437238322782,FALSE,CD8 Terminally Exhausted
LINC02384,7.78973571206272,5.71479144059102e-06,0.00144269591644247,0.00841593022828164,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC008033.3,0.0413505206480239,-1.16473342758442e-07,0.00144269494942798,0.440147133285509,0.973437238322782,FALSE,CD8 Terminally Exhausted
RAP1B,124.938006413677,2.67811816147321e-06,0.00144264680459027,0.60476217472918,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC090061.1,1.20854535105731,-1.03925179543014e-06,0.0014426939894804,0.218183969065679,0.973437238322782,FALSE,CD8 Terminally Exhausted
NUP107,10.5931327587897,6.52653797018508e-07,0.00144268301935104,0.63932112800083,0.973437238322782,FALSE,CD8 Terminally Exhausted
SLC35E3,2.97247616058799,1.02334634790183e-06,0.00144269096242019,0.597016850628986,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC025423.4,0.51602745968445,-3.99257655320728e-07,0.00144269443068872,0.284634208266521,0.973437238322782,FALSE,CD8 Terminally Exhausted
CPM,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
CPSF6,24.6587235772528,2.74762947082566e-06,0.00144267623553712,0.637730157899303,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC020656.2,0.158976506762047,2.0303281781947e-07,0.00144269496130098,0.644037941627282,0.973437238322782,FALSE,CD8 Terminally Exhausted
LYZ,1.12069781976005,-2.13805982422729e-07,0.0014426945472587,0.582739680934265,0.973437238322782,FALSE,CD8 Terminally Exhausted
FRS2,5.39343881351141,1.15945931037392e-06,0.00144268812900886,0.7155383357162,0.973437238322782,FALSE,CD8 Terminally Exhausted
CCT2,32.2252444849135,-2.73635072087322e-06,0.00144266589344934,0.511447025275675,0.973437238322782,FALSE,CD8 Terminally Exhausted
AC025263.1,0.0105554529912213,4.77336624647729e-08,0.00144269500389163,0.466441209498902,0.973437238322782,FALSE,CD8 Terminally Exhausted
RAB3IP,5.13243431509974,-1.54447236657706e-06,0.00144269194399717,0.296625794265555,0.973437238322782,FALSE,CD8 Terminally Exhausted
