gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold,celltype
AC118555.1,0.0463465964993845,1.12867394170136e-07,0.00144269498733109,0.680028254287255,0.988334755250581,FALSE,CD8 Terminally Exhausted
TFB2M,6.89648083123999,7.8262185737754e-07,0.00144268624737177,0.773070831555467,0.988334755250581,FALSE,CD8 Terminally Exhausted
CNST,22.6947251450891,3.42788003624653e-07,0.00144267553368472,0.544961311583796,0.988334755250581,FALSE,CD8 Terminally Exhausted
AL591623.1,0.0463465964993845,1.12867394170136e-07,0.00144269498733109,0.680028254287255,0.988334755250581,FALSE,CD8 Terminally Exhausted
SCCPDH,6.30855785541097,1.21785020835898e-06,0.00144268877877788,0.555489075550945,0.988334755250581,FALSE,CD8 Terminally Exhausted
LINC01341,0.111782559185549,-1.92241795861598e-07,0.00144269496516288,0.407785982163312,0.988334755250581,FALSE,CD8 Terminally Exhausted
AHCTF1,11.1381622709878,1.97610424833947e-06,0.00144268281803671,0.527217493000212,0.988334755250581,FALSE,CD8 Terminally Exhausted
ZNF670,0.142669752337262,1.42177013088872e-07,0.00144269498922242,0.574640837142776,0.988334755250581,FALSE,CD8 Terminally Exhausted
ZNF669,4.90187620142177,-1.33600531170885e-07,0.00144268855357869,0.369930194800605,0.988334755250581,FALSE,CD8 Terminally Exhausted
ZNF124,4.65740896456104,1.16559085922986e-06,0.00144269060610033,0.534038665254253,0.988334755250581,FALSE,CD8 Terminally Exhausted
AL390728.6,2.42691025652664,1.43090765149443e-06,0.00144269254345348,0.342331515003734,0.988334755250581,FALSE,CD8 Terminally Exhausted
ZNF496,3.70771604716955,-3.60364761031331e-06,0.00144269254794006,0.0332641838078851,0.988334755250581,FALSE,CD8 Terminally Exhausted
NLRP3,1.11215293878965,-1.16718481043971e-06,0.00144269428684403,0.142593683082945,0.988334755250581,FALSE,CD8 Terminally Exhausted
TRIM58,0.0346612260334591,8.86008764995691e-08,0.00144269498911035,0.635602535135706,0.988334755250581,FALSE,CD8 Terminally Exhausted
OR2AK2,0.100298717149434,-2.45585124668863e-07,0.00144269499908391,0.336390535419484,0.988334755250581,FALSE,CD8 Terminally Exhausted
OR2L3,0.100298717149434,-2.45585124668863e-07,0.00144269499908391,0.336390535419484,0.988334755250581,FALSE,CD8 Terminally Exhausted
SH3BP5L,2.39394585080793,1.18506986036296e-06,0.00144269296146582,0.404430923632997,0.988334755250581,FALSE,CD8 Terminally Exhausted
ZNF672,5.41685947135321,-9.13870822447957e-07,0.001442687970009,0.652145641470673,0.988334755250581,FALSE,CD8 Terminally Exhausted
AL672291.1,0.041459451033705,1.1321886299749e-07,0.00144269498675286,0.668716356039388,0.988334755250581,FALSE,CD8 Terminally Exhausted
PGBD2,1.65487367314116,-3.42108729714019e-07,0.0014426925259196,0.718269045374376,0.988334755250581,FALSE,CD8 Terminally Exhausted
FAM110C,0.0346612260334591,8.86008764995691e-08,0.00144269498911035,0.635602535135706,0.988334755250581,FALSE,CD8 Terminally Exhausted
ALKAL2,0.0444396907622451,-4.81148767846461e-08,0.00144269494502807,0.495600182924708,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC079779.2,0.0294539291372761,-2.22179564119214e-07,0.00144269499366437,0.39908237275439,0.988334755250581,FALSE,CD8 Terminally Exhausted
TMEM18-DT,0.537210578824694,-4.53419410361544e-07,0.00144269472953836,0.299745917894705,0.988334755250581,FALSE,CD8 Terminally Exhausted
LINC01115,0.494108018250708,4.68989884159044e-07,0.00144269482161033,0.7013878051744,0.988334755250581,FALSE,CD8 Terminally Exhausted
SNTG2,0.481158195502998,-5.51874742738302e-07,0.00144269450836625,0.270214343049138,0.988334755250581,FALSE,CD8 Terminally Exhausted
