NK,Monocyte,B_cells,Early_Erythroid,Mid_Erythroid,Late_Erythroid,cDC,pDC,Plasma_Cell,Pre_B_cell,Cycling_NP,NP,ProB,GMP,HSPC,EP,IMP,MkP,MPP,EBM,CD4_Naïve,CD56_dim_NK,CD8_Term_Eff,CD8_GZMK_Exh,CD8_EM,CD8_Naïve,NKT,CD4_CM,MAIT,Tregs,CD56_Bright_NK
IFITM2,RBM47,HLA-DPA1,KLF1,RHCE,BLVRB,ANXA2,PPP1R14B,ANKRD28,DTX1,PSAP,JARID2,NSMCE1,PLCB1,RPL35A,DPP10,AC116366.3,GATA2,SMIM24,THSD7A,FOS,FLNA,RABGAP1L,HCST,RPS3,SKI,PTPRJ,LINC01619,ERN1,TTC39C,IL12RB2
NCALD,SIPA1L1,TNFRSF13C,CA2,HMBS,CPEB4,SAMHD1,IL3RA,GNG7,RAB30,CENPF,RNASE2,RGS2,CPA3,RPS3A,PRKAR2B,PAG1,PRKAR2B,SUPT3H,ABCC1,SESN3,C1orf21,ADGRG1,DNAJB1,TRAC,EPHA4,HIVEP3,SNHG5,FOSB,CEP128,GSTP1
ADGRG1,FCAR,CD83,HSP90AA1,H1-0,CA1,PID1,SETBP1,TEX14,KLHL14,CENPE,CD44,DTX1,NKAIN2,MSRB3,ITGA2B,MEF2C,CHRM3,HOPX,ARFGEF1,RGCC,CD247,CD99,SRGN,FTL,LINC01934,RABGAP1L,RUNX2,ID2,CCDC141,CLIC3
HCST,FOS,PLEKHG1,RPLP0,SPTB,MARCHF8,TIPARP,PLD4,DENND5B,OSBPL10,NAMPT,ASAP1,TXNIP,RPL36,MECOM,HSP90AB1,BLNK,DNM3,PIK3R1,NLK,RCAN3,PLEK,FCRL6,LYST,RPL36AL,PITPNC1,TOX,LGALS3,COLQ,BACH1,DUSP1
TGFBR3,PLBD1,CDK14,HMGB2,UROD,TFRC,IGSF6,UGCG,FNDC3B,C16orf74,S100A10,GPCPD1,YBX3,EGFL7,MDK,CDK6,CD79A,P2RY14,ZEB1,PPM1H,TNFAIP3,TGFBR3,CD3D,HLA-DPA1,CD2,ZSWIM6,ZFAND3,MGAT5,NFKB1,SNX9,SRGN
ABHD17A,JARID2,GNG7,APOC1,MGST3,BSG,CTSZ,C12orf75,COBLL1,RAPGEF5,CEBPB,FRY,MZB1,FLT3,RPL10A,REXO2,PSD3,HBD,XYLT1,DACH1,PABPC1,ASCL2,KLRD1,GZMM,RPS27,ELL2,MYO1F,MAL,JAML,CCM2,MATK
PYHIN1,ATP13A3,SWAP70,TYMS,H1-5,EPB42,CIITA,WDFY4,MYO1D,HRK,TYROBP,CYBB,LIMD2,IGLL1,BEX2,SLC39A8,SMIM3,SLC40A1,RERE,PLD1,TIAM1,SYNE1,A2M,CD160,CD3E,AC079793.1,AUTS2,SAMD12,CXCR4,TIGIT,DUSP2
EFHD2,SERPINB2,COBLL1,UROD,GYPC,RAPGEF2,COTL1,IRF7,SPCS2,KHDRBS2,RAB31,DPYD,TMEM243,NAP1L1,PRDX1,UROD,RCSD1,RAP1B,GYPC,GLUL,CD69,HCST,HLA-DPA1,ZNF331,TRBC1,PLCB1,FAM49B,RCAN3,ATF7IP2,ZEB1,HOPX
MCTP2,LRRK2,LARGE1,YBX1,RHAG,BNIP3L,CCDC88A,SLC35F3,GAB1,BLK,RRM2,SAMHD1,CD81,ANKRD28,TFPI,TAFA2,PPP1R14B,SOS1,ARHGAP25,SLC18A2,NR3C1,SAMD3,ITGB1,YPEL5,GAPDH,FYN,PTPN12,SNHG6,BTG2,SNED1,IFITM3
NCAM1,QKI,NIBAN3,SLC25A21,TOP2A,SELENBP1,HLA-DMB,SEL1L3,JUN,ANGPTL1,APLP2,RAB11FIP1,RHOH,EREG,RPL12,RPL22L1,FOXO1,DEPTOR,COL24A1,ALOX5,PATJ,C12orf75,SAMD3,IL32,C12orf75,PLEKHA2,NFATC2,SNX9,PPP1R15A,BIRC3,MCTP2
BNC2,CYBB,WDFY4,RPL22L1,NFIA,STOM,ALCAM,ITM2C,SEL1L3,MZB1,EMILIN2,FCN1,CAMK2D,BCL2,RPS3,APOE,BCL11A,NRGN,DOCK1,KIT,CD28,AC116366.3,CX3CR1,CST7,CD3G,ATP8A1,L3MBTL4,RPSA,AQP3,F5,TXK
TRGC2,NEAT1,STRBP,H2AZ1,ASPM,GLRX5,AFF3,JCHAIN,CREB3L2,FCRL5,HMGB2,FGD4,TMEM131L,ARMH1,EIF3E,NME4,RAG1,LAPTM4B,NREP,SAMSN1,ETV6,ITGB2,IL32,H1-2,HLA-A,AKT3,ZBTB16,ARHGAP15,ZFP36L1,TIAM1,AC005747.1
TOX,CYP1B1,FCHSD2,HEBP1,TFRC,ARHGEF12,LYZ,PALD1,ERLEC1,CD72,TPX2,TYROBP,JUND,BEX3,TSC22D3,TPM1,MZB1,FCER1A,BLNK,BACE2,COTL1,ABHD17A,DNAJC1,CD69,EMP3,CD6,SRPK2,MAP3K1,TC2N,TRAC,MAFF
