B cells	CD4 Memory	CD4 Naïve	CD56 Bright NK cells	CD56 Dim NK cells	CD8 Central Memory	CD8 Effector Memory	CD8 Naïve	CD8 Terminally Exhausted	cDC	Doublets	Early Erythroids	HSPCs	Late Erythroids	Mid Erythroids	Monocytes	NK T cells	Non Classical Monocytes	pDC	Plasma Cells	Pre B cells	Pro B cells	Pro Monocytes	Treg	Undetermined	γδ T lymphocytes
CD19	CD3E	LINC00861	JAK1	TBX21	IRF1	HLA-C	TRAC	ZFP36	CTSH	HLA-DRA	GNAQ	IGFBP7	FBXO7	SPTA1	S100A11	STAT4	HLA-DPA1	FAM160A1	ELL2	TCF4	MSI2	MTDH	EEF1A1	DNAJC1	HLA-C
CCDC191	RPL41	RPL36	CLIC3	KLRC1	FYN	B2M	GIMAP7	MT1X	TUBA1B	ADIPOR1	RGS18	TPM4	MPP1	MYL4	SLC11A1	CEMIP2	LRRC25	RASD1	UBE2J1	H2AX	AFF3	RBM47	RPSA	XBP1	KLRB1
TCF4	RPL22	RPL9	GZMB	TRBC1	HLA-C	ARL4C	LEPROTL1	FYN	JAML	HBQ1	KCNQ5	ANKRD28	TMCC2	CD36	RAB31	CAMK4	TNFRSF1B	ALOX5AP	SSR3	MME	BCL11A	RAB32	CNN2	FABP5	KLRG1
HLA-DRB5	RPSA	NOP53	SRGN	LINC00299	PPP2R5C	LITAF	CNN2	STK17A	LGALS2	HLA-DQB1	LAPTM4B	AIF1	GMPR	UBE2S	ARHGAP26	RIPOR2	MAFB	LINC01374	LMAN1	MYBL2	ZCCHC7	SERPINB1	TRAT1	H2AZ1	SLC9A3R1
BLK	CAMK4	BCL2	TNFRSF18	TRDC	MYBL1	SYNE1	GZMM	CTSW	FCGRT	YBX3	KIT	SERPINB1	YBX3	RRM2	NCF2	LRBA	STXBP2	AFF3	MYDGF	PAX5	LINC01374	ENO1	HSPA8	FOS	RUNX3
GNG7	RPL14	EEF1B2	NCR1	PTGDR	HLA-B	SPON2	HCST	THEMIS	AP1S2	GLRX5	IGFBP7	MIR181A1HG	ARL4A	GYPC	CFD	PPP1R16B	LILRA5	CLIC3	SPCS2	PDLIM1	IGHV5-78	RNASEH2C	SIT1	SEPTIN11	LITAF
HLA-DMA	RPS18	RPL5	BHLHE40	GZMM	PYHIN1	SAMD3	THEMIS	B2M	MS4A6A	CD74	IMPDH2	HOPX	MAP2K3	UBAC1	NEAT1	PIP4K2A	SLC8A1	HLA-DRA	SPCS3	CMTM7	LAT2	CSF3R	RPL36	HMGN3	C12orf75
CD22	RPL5	EEF1A1	DUSP2	IFITM1	CLEC2B	SLC9A3R1	HLA-B	SAMD3	PAK1	BLVRB	TXN	HLA-DRB1	EIF1AY	GATA1	FCER1G	EML4	NPC2	SEC61B	PDIA6	SOX4	GNG7	HMGN2	CRIP2	BMI1	ARL4C
CD72	RPS13	RPS21	MCTP2	ITGB2	PTPRC	PLEK	TNFAIP3	TNFAIP3	SLC8A1	MKRN1	MYADM	KIT	NFIX	CR1L	STXBP2	RNF213	TIMP1	C12orf75	HM13	H2AZ2	ERGIC1	AC020656.1	EVL	SERPINB1	PLEK
BCL7A	RPL9	RPS23	CD247	ID2	C12orf75	LYAR	ETS1	TIGIT	LSP1	FBXO7	ARMH1	LAT2	ANK1	SOX6	LRMDA	BTBD9	C1QA	LILRB4	FNDC3B	MAD2L2	YBX3	CTSD	TTC39C	PPP1R14B	TTC38
ARHGAP24	JUN	RPL14	IL12RB2	APMAP	CD81	MATK	ALOX5AP	HLA-B	GSN	FKBP8	TUBA1A	SYNGR1	IFI27	NFIA	CYBB	KANSL1	APOBEC3A	TGFBI	SPCS1	MACROH2A1	MYB	GNAQ	S100A4	CLEC11A	B2M
HVCN1	LEPROTL1	RPL13	LINC00299	ARL4C	CXCR4	HLA-A	IFITM1	CD3G	RNF130	UBB	DUSP1	LINC00355	MARCHF8	PTTG1	CSTA	PRKCA	LILRB1	MAPKAPK2	PPIB	CARHSP1	LDLRAD4	PKM	VIM	LYL1	TGFBR3
CXXC5	PRKCQ-AS1	RPS27A	STK17A	NCR3	TRBC2	CD52	CD3G	ARL4C	AREG	RBM38	CSF3R	PLCB1	FKBP8	ABCB10	SLC8A1	SMYD3	HLA-DRB1	RNASE6	HSPA5	IRF4	TCF3	MNDA	LIME1	HSPB1	HLA-B
MEF2C	RPS26	PIK3IP1	CD300A	JAK1	LITAF	PYHIN1	MYBL1	TUBA4A	CCDC88A	LGALS3	HSP90AB1	CYTL1	NUDT4	TFDP1	BRI3	PDE3B	HLA-DRB5	COBLL1	SEC61B	HMGA1	LINC01013	VAMP8	PBXIP1	NFE2	MATK
MZB1	FXYD5	OXNAD1	IRF1	ZAP70	ID2	CALM1	GIMAP4	APOBEC3G	RTN1	BSG	CXCL2	CD82	PITHD1	PRKAR2B	FOS	AOAH	RHOB	CUX2	SUB1	TCF3	H1-10	WDFY2	TPT1	RNF220	LAG3
CYB561A3	RPS4X	RPS3A	ZFP36	GNG2	PRKCH	HLA-B	JUNB	CBLB	CEBPD	XPO7	IGLL1	MACROH2A1	TENT5C	RHCE	PLBD1	BCL2	BRI3	MPEG1	JUN	NIBAN3	PDE4D	DIAPH2	RPL34	HSPD1	IFITM1
