p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.41602232289529e-236,-0.339634299595681,0.009,0.141,3.42479159015454e-232,0,DPP4
1.61905103139392e-236,0.349275678508016,0.886,0.804,3.91583682452934e-232,0,LCP1
9.71348516345979e-236,0.325143754518,0.325,0.168,2.34930352163438e-231,0,PRR5L
6.56097215508766e-235,-0.455259695956986,0.073,0.236,1.5868367254295e-230,0,TRABD2A
5.47475744655953e-234,0.350157801433784,0.88,0.742,1.32412483602489e-229,0,CD3E
6.76158475819249e-233,-0.399765452410345,0.034,0.18,1.63535688961644e-228,0,RNF157
2.95145383937839e-232,-0.470119999793043,0.145,0.328,7.13838625592058e-228,0,TESPA1
6.25131287499967e-230,0.255809709243117,0.139,0.047,1.51194253194742e-225,0,FRMPD3
8.01563152879473e-230,-0.360231352391842,0.011,0.14,1.93866064155429e-225,0,KCNQ1
2.2482627956308e-228,-0.456518463447374,0.06,0.216,5.43764839751265e-224,0,RETREG1
4.99730877302461e-228,-0.390445123166822,0.988,0.953,1.20864909984373e-223,0,RPL9
8.5008800448634e-223,0.251506251607646,0.17,0.067,2.05602284765066e-218,0,TTC16
1.43808678652395e-222,0.304856586004193,0.174,0.07,3.47815670188684e-218,0,MT1E
1.40564234973648e-221,-0.478865695330102,0.002,0.12,3.39968658707265e-217,0,AL109930.1
1.48860643816501e-220,-0.29941174518398,0.005,0.126,3.60034353134588e-216,0,IL6R
1.56192167507851e-220,0.309598233741414,0.945,0.88,3.77766376334489e-216,0,CFL1
3.14165814607635e-220,-0.396855584007656,0.103,0.273,7.59841439210026e-216,0,TRAT1
6.6752406791709e-220,0.364534204363465,0.647,0.474,1.61447371066427e-215,0,SMAD7
4.75057206699529e-219,0.381209106030426,0.471,0.317,1.14897336012348e-214,0,SSBP4
4.87034035471487e-219,-0.443916461690845,0.994,0.966,1.17794051819134e-214,0,RPS8
5.2554994993846e-219,0.377852757757102,0.567,0.414,1.27109510892116e-214,0,PAXX
9.45673572097667e-219,0.366594268514051,0.672,0.52,2.28720610147542e-214,0,YWHAQ
1.90437650571819e-218,-0.521252341865587,0.395,0.566,4.60592501673002e-214,0,OXNAD1
2.30773143943102e-217,0.304799340801809,0.942,0.843,5.58147925940786e-213,0,SYNE2
5.13509111774604e-217,0.359237048218723,0.757,0.594,1.24197313773806e-212,0,ITGA4
1.10262882950808e-216,-0.595265395192033,0.354,0.53,2.66681808704824e-212,0,CASK
1.21658428694132e-215,-0.513774729172147,0.187,0.364,2.94243075639627e-211,0,NFKBIZ
1.55609870506546e-215,0.346881891623669,0.433,0.27,3.76358032807132e-211,0,VCL
6.57407400004868e-210,-0.538962424694372,0.322,0.504,1.59000553765177e-205,0,ABLIM1
