"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"178",0,2.07731111378809,0.781,0.169,0,"Mid Erythroids","SLC25A37"
"179",0,2.07528551234391,0.667,0.044,0,"Mid Erythroids","MKI67"
"180",0,2.06138142944607,0.974,0.235,0,"Mid Erythroids","HBB"
"181",0,2.04025652590716,0.731,0.277,0,"Mid Erythroids","MGST3"
"182",0,2.02226349741834,0.691,0.177,0,"Mid Erythroids","TMEM14C"
"183",0,1.99130131880107,0.782,0.253,0,"Mid Erythroids","TUBB4B"
"184",0,1.98471934834167,0.524,0.009,0,"Mid Erythroids","KCNH2"
"185",0,1.97916010021556,0.649,0.029,0,"Mid Erythroids","SPTA1"
"186",0,1.95706655906479,0.604,0.041,0,"Mid Erythroids","MYL4"
"187",0,1.95591035806853,0.719,0.094,0,"Mid Erythroids","CD36"
"188",0,1.9444182783057,0.72,0.219,0,"Mid Erythroids","UBE2S"
"189",0,1.90962544531305,0.579,0.031,0,"Mid Erythroids","RRM2"
"190",0,1.90586370362989,0.869,0.56,0,"Mid Erythroids","GYPC"
"191",0,1.9029292604709,0.717,0.145,0,"Mid Erythroids","UBAC1"
"192",0,1.89547986634492,0.685,0.038,0,"Mid Erythroids","GATA1"
"193",0,1.85474243203241,0.556,0.029,0,"Mid Erythroids","CR1L"
"194",0,1.85432862612773,0.523,0.037,0,"Mid Erythroids","SOX6"
"195",0,1.83284091304682,0.626,0.046,0,"Mid Erythroids","NFIA"
"196",0,1.83154302215229,0.609,0.068,0,"Mid Erythroids","PTTG1"
"197",0,1.82200576647323,0.644,0.066,0,"Mid Erythroids","ABCB10"
"198",0,1.80867417911194,0.721,0.174,0,"Mid Erythroids","TFDP1"
"199",0,1.79137049798007,0.678,0.058,0,"Mid Erythroids","PRKAR2B"
"200",0,1.78527878233464,0.529,0.028,0,"Mid Erythroids","RHCE"
"201",0,4.68721978249827,0.99,0.047,0,"Pre B cells","IGLL1"
"202",0,3.51703164669491,0.994,0.216,0,"Pre B cells","STMN1"
"203",0,3.48004083117947,0.955,0.02,0,"Pre B cells","VPREB1"
"204",0,3.34251440731174,0.66,0.036,0,"Pre B cells","TCL1A"
"205",0,3.30108874882329,0.681,0.023,0,"Pre B cells","IGLL5"
"206",0,3.09170460598872,0.905,0.434,0,"Pre B cells","H4C3"
"207",0,3.06074684105432,0.996,0.494,0,"Pre B cells","TUBA1B"
"208",0,2.98977951979054,0.955,0.03,0,"Pre B cells","VPREB3"
"209",0,2.96160628259154,0.993,0.546,0,"Pre B cells","HMGN2"
"210",0,2.80867104640491,0.99,0.457,0,"Pre B cells","TUBB"
"211",0,2.78839947043686,0.381,0.014,0,"Pre B cells","DNTT"
"212",0,2.78530744866453,0.897,0.023,0,"Pre B cells","CD24"
"213",0,2.77631166293725,0.928,0.112,0,"Pre B cells","AFF3"
"214",0,2.69178338493798,0.911,0.087,0,"Pre B cells","TYMS"
"215",0,2.65940822064801,0.995,0.385,0,"Pre B cells","HMGB2"
"216",0,2.64704169239617,0.998,0.74,0,"Pre B cells","HMGB1"
"217",0,2.62458351648529,0.932,0.21,0,"Pre B cells","BACH2"
"218",0,2.62416218171983,0.899,0.027,0,"Pre B cells","EBF1"
"219",0,2.60323616831709,0.917,0.082,0,"Pre B cells","MKI67"
"220",0,2.57644653949571,0.989,0.456,0,"Pre B cells","H2AZ1"
"221",0,2.43962198970328,0.862,0.056,0,"Pre B cells","UHRF1"
"222",0,2.39892906385804,0.849,0.118,0,"Pre B cells","H1-5"
"223",0,2.3910352130248,0.97,0.063,0,"Pre B cells","CD79A"
"224",0,2.37194690532405,0.721,0.059,0,"Pre B cells","H3C2"
"225",0,2.30257721956697,0.94,0.109,0,"Pre B cells","CD79B"
"226",0,2.3020577567991,0.951,0.076,0,"Pre B cells","IGHM"
"227",0,2.29039488161548,0.957,0.18,0,"Pre B cells","SSBP2"
"228",0,2.17980175537161,0.735,0.057,0,"Pre B cells","UBE2C"
"229",0,2.16922804067286,0.832,0.065,0,"Pre B cells","RRM2"
"230",0,2.13103681988428,0.763,0.066,0,"Pre B cells","TOP2A"
"231",0,2.11088893613295,0.905,0.147,0,"Pre B cells","SMC4"
"232",0,2.09067628244039,1,0.91,0,"Pre B cells","PTMA"
"233",0,2.04789029684818,0.798,0.082,0,"Pre B cells","CENPF"
"234",0,2.04427616139967,0.874,0.126,0,"Pre B cells","MCM7"
"235",0,2.03939100372141,0.897,0.085,0,"Pre B cells","TCF4"
"236",0,2.0096049360808,0.864,0.132,0,"Pre B cells","H2AX"
"237",0,1.93089339317959,0.78,0.013,0,"Pre B cells","MME"
"238",0,1.92705408722298,0.862,0.067,0,"Pre B cells","MYBL2"
"239",0,1.92013092017647,0.827,0.027,0,"Pre B cells","PAX5"
"240",0,1.91902669381491,0.863,0.094,0,"Pre B cells","PDLIM1"
"241",0,1.90246949591663,0.952,0.24,0,"Pre B cells","CMTM7"
"242",0,1.89954451934392,0.888,0.103,0,"Pre B cells","SOX4"
"243",0,1.87468948264903,0.979,0.442,0,"Pre B cells","H2AZ2"
"244",0,1.85798835602009,0.9,0.162,0,"Pre B cells","MAD2L2"
"245",0,1.83048862205239,0.954,0.35,0,"Pre B cells","MACROH2A1"
"246",0,1.82970250924894,0.892,0.172,0,"Pre B cells","CARHSP1"
"247",0,1.82325079942823,0.6,0.042,0,"Pre B cells","IRF4"
