,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,
279,6.35E-129,-0.341415386,0.458,0.491,2.38E-124,0,ARF6,
281,1.72E-126,-0.341418362,0.558,0.572,6.47E-122,0,SUN2,
284,5.61E-121,-0.343368627,0.51,0.531,2.11E-116,0,CD53,
291,9.27E-106,-0.343544605,0.351,0.394,3.48E-101,0,YWHAQ,
303,2.65E-88,-0.344758501,0.346,0.383,9.97E-84,0,KLF13,
327,2.32E-25,-0.349948962,0.332,0.337,8.71E-21,0,ESYT2,
302,1.92E-88,-0.350506808,0.334,0.374,7.20E-84,0,PPP1R12A,
296,6.14E-97,-0.351655861,0.62,0.623,2.31E-92,0,MT-ND6,
322,9.95E-45,-0.352187972,0.285,0.311,3.74E-40,0,LPP,
310,3.57E-72,-0.354726753,0.324,0.357,1.34E-67,0,CCNH,
319,5.97E-53,-0.355554897,0.284,0.313,2.24E-48,0,DOCK2,
262,7.77E-166,-0.361153851,0.529,0.559,2.92E-161,0,PTP4A2,
329,3.65E-11,-0.366882838,0.428,0.421,1.37E-06,0,JUN,
248,8.23E-204,-0.369031083,0.621,0.635,3.09E-199,0,GUK1,
282,2.60E-126,-0.369346628,0.331,0.383,9.76E-122,0,BZW1,
295,4.15E-97,-0.369696915,0.402,0.435,1.56E-92,0,RASA2,
313,5.28E-64,-0.371102438,0.406,0.428,1.98E-59,0,TRBC1,
286,1.12E-115,-0.374485461,0.265,0.323,4.19E-111,0,CDK2AP2,
273,2.43E-136,-0.376053257,0.394,0.44,9.11E-132,0,PPP1R18,
261,5.14E-166,-0.376812589,0.56,0.583,1.93E-161,0,BIN2,
293,8.90E-101,-0.377611996,0.308,0.355,3.34E-96,0,PPP3CC,
274,9.92E-135,-0.378993923,0.521,0.541,3.72E-130,0,ZAP70,
250,2.74E-202,-0.379274234,0.651,0.65,1.03E-197,0,PPP1CA,
263,7.57E-165,-0.379342799,0.299,0.376,2.84E-160,0,ANXA2,
285,1.67E-116,-0.381110688,0.45,0.483,6.28E-112,0,AKAP13,
314,2.43E-62,-0.382065754,0.27,0.304,9.13E-58,0,CARD11,
252,4.59E-198,-0.383458181,0.626,0.643,1.72E-193,0,RBM39,
315,4.76E-62,-0.384341109,0.28,0.31,1.79E-57,0,PLAC8,
289,2.46E-113,-0.385139432,0.312,0.363,9.25E-109,0,DIAPH1,
306,5.38E-84,-0.3869887,0.384,0.415,2.02E-79,0,ANKRD11,
